Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
2,Saquon Barkley,PHI,9,RB1,2,2,4,2.7,00-0034844,RB,2024,0.7844827586206896,27,348,2011,125.6875,17,13,1,43,33,278,17.375,4,2,15,16
3,Bijan Robinson,ATL,5,RB2,3,3,2,2.7,00-0038542,RB,2024,1.0,22,305,1458,85.76470588235294,5,14,0,72,61,431,25.352941176470587,3,1,15,17
4,Jahmyr Gibbs,DET,8,RB3,4,5,3,4,00-0039139,RB,2024,0.9411764705882353,22,250,1412,83.05882352941177,13,16,1,63,52,476,28,4,3,19,17
7,Derrick Henry,BAL,7,RB4,7,7,13,9,00-0032764,RB,2024,0.9261744966442953,30,325,1921,113,19,16,1,22,19,193,11.352941176470589,2,2,18,17
8,Christian McCaffrey,SF,14,RB5,8,12,7,9,00-0033280,RB,2024,0.7196969696969697,28,50,202,50.5,0,0,1,19,15,146,36.5,2,0,0,4
10,Ashton Jeanty,LV,8,RB6,12,10,8,10,00-0040122,RB,2024,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,De'Von Achane,MIA,12,RB7,15,14,12,13.7,00-0039040,RB,2024,0.8235294117647058,22,203,907,53.35294117647059,5,6,0,87,78,592,34.8235294117647,3,6,12,17
16,Josh Jacobs,GB,5,RB8,17,19,16,17.3,00-0035700,RB,2024,0.9,26,303,1329,78.17647058823529,7,15,3,43,36,342,20.11764705882353,5,1,16,17
18,Jonathan Taylor,IND,11,RB9,14,21,21,18.7,00-0036223,RB,2024,0.7976190476190477,25,305,1431,102.21428571428572,11,11,1,31,18,136,9.714285714285714,1,1,12,14
20,Bucky Irving,TB,9,RB10,21,20,18,19.7,00-0039361,RB,2024,1.0,22,207,1122,66,8,8,1,53,47,392,23.058823529411764,3,0,8,17
24,Chase Brown,CIN,10,RB11,26,27,17,23.3,00-0038597,RB,2024,0.8235294117647058,24,230,992,62,8,7,1,65,54,360,22.5,2,4,11,16
25,Kyren Williams,LAR,8,RB12,25,26,24,25,00-0037840,RB,2024,0.7843137254901961,24,316,1299,81.1875,2,14,3,40,34,182,11.375,1,2,16,16
32,Breece Hall,NYJ,9,RB13,37,32,27,32,00-0038120,RB,2024,0.7843137254901961,23,212,880,55,3,5,2,76,57,483,30.1875,5,3,8,16
33,James Cook,BUF,7,RB14,30,33,33,32,00-0037248,RB,2024,0.9803921568627451,24,207,1009,63.0625,6,16,0,38,32,258,16.125,3,2,18,16
37,Omarion Hampton,LAC,12,RB15,44,39,31,38,00-0040666,RB,2024,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Alvin Kamara,NO,11,RB16,45,41,34,40,00-0033906,RB,2024,0.8787878787878788,29,228,950,67.85714285714286,3,6,0,89,68,543,38.785714285714285,7,2,8,14
44,Kenneth Walker III,SEA,8,RB17,42,44,38,41.3,00-0038134,RB,2024,0.803921568627451,23,153,573,52.09090909090909,5,7,0,53,46,299,27.181818181818183,1,1,8,11
45,Chuba Hubbard,CAR,14,RB18,41,45,41,42.3,00-0036555,RB,2024,0.9411764705882353,25,251,1197,79.8,8,10,3,54,43,171,11.4,1,1,11,15
47,James Conner,ARI,8,RB19,46,49,49,48,00-0033553,RB,2024,0.8345864661654135,29,239,1098,68.625,6,8,1,55,47,414,25.875,4,1,9,16
53,David Montgomery,DET,8,RB20,49,54,58,53.7,00-0035685,RB,2024,0.88,27,186,775,55.357142857142854,1,12,1,38,36,341,24.357142857142858,2,0,13,14
55,RJ Harvey,DEN,12,RB21,60,57,51,56,00-0040730,RB,2024,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Joe Mixon,HOU,6,RB22,58,51,69,59.3,00-0033897,RB,2024,0.8787878787878788,28,247,1016,72.57142857142857,8,11,0,52,36,309,22.071428571428573,4,1,12,14
57,D'Andre Swift,CHI,5,RB23,69,68,45,60.7,00-0036275,RB,2024,0.8690476190476191,25,253,959,56.411764705882355,5,6,0,53,42,386,22.705882352941178,5,0,6,17
58,TreVeyon Henderson,NE,14,RB24,73,63,46,60.7,00-0040734,RB,2024,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Isiah Pacheco,KC,10,RB25,64,61,62,62.3,00-0037197,RB,2024,0.7647058823529411,25,83,310,44.285714285714285,1,1,0,16,12,79,11.285714285714286,1,0,1,7
66,Aaron Jones Sr.,MIN,6,RB26,71,66,59,65.3,00-0033293,RB,2024,0.8939393939393939,29,255,1138,66.94117647058823,3,5,3,62,51,408,24,4,2,7,17
69,Kaleb Johnson,PIT,5,RB27,66,77,57,66.7,00-0040142,RB,2024,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Tony Pollard,TEN,10,RB28,63,73,64,66.7,00-0035261,RB,2024,0.95,27,261,1081,67.5625,6,5,2,57,41,238,14.875,2,0,5,16
78,Brian Robinson Jr.,WAS,12,RB29,83,81,80,81.3,00-0037746,RB,2024,0.803921568627451,25,187,799,57.07142857142857,4,8,2,25,20,159,11.357142857142858,1,0,8,14
81,Tyrone Tracy Jr.,NYG,14,RB30,91,83,76,83.3,00-0039384,RB,2024,1.0,24,192,839,49.35294117647059,6,5,2,54,38,284,16.705882352941178,0,1,6,17
83,Jaylen Warren,PIT,5,RB31,92,87,78,85.7,00-0037228,RB,2024,0.9411764705882353,25,120,511,34.06666666666667,1,1,1,47,38,310,20.666666666666668,3,0,1,15
86,Quinshon Judkins,CLE,9,RB32,99,71,102,90.7,JUD359919,RB,2024,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Travis Etienne Jr.,JAC,8,RB33,108,88,87,94.3,00-0036973,RB,2024,0.7205882352941176,25,150,558,37.2,2,2,1,52,39,254,16.933333333333334,2,0,2,15
94,Jordan Mason,MIN,6,RB34,96,107,93,98.7,00-0037525,RB,2024,0.8823529411764706,25,153,789,65.75,9,3,1,14,11,90,7.5,1,0,3,12
99,Cam Skattebo,NYG,14,RB35,112,102,95,103,00-0040715,RB,2024,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Zach Charbonnet,SEA,8,RB36,116,108,99,107.7,00-0039165,RB,2024,0.9705882352941176,23,135,569,33.470588235294116,3,8,0,52,42,292,17.176470588235293,3,1,9,17
107,J.K. Dobbins,DEN,12,RB37,114,119,97,110,00-0036158,RB,2024,0.44047619047619047,25,195,905,69.61538461538461,6,9,0,38,32,143,11,0,0,9,13
109,Najee Harris,LAC,12,RB38,117,101,119,112.3,00-0036893,RB,2024,1.0,26,263,1043,61.35294117647059,9,6,0,48,36,283,16.647058823529413,4,0,6,17
110,Rhamondre Stevenson,NE,14,RB39,119,106,112,112.3,00-0036875,RB,2024,0.8382352941176471,26,207,801,53.4,2,7,3,43,33,164,10.933333333333334,0,1,8,15
111,Javonte Williams,DAL,10,RB40,141,103,94,112.7,00-0036997,RB,2024,0.7941176470588235,24,139,513,30.176470588235293,1,4,2,70,52,346,20.352941176470587,3,0,4,17
116,Tank Bigsby,JAC,8,RB41,133,125,103,120.3,00-0038555,RB,2024,0.9705882352941176,22,168,766,51.06666666666667,4,7,1,12,7,54,3.6,1,0,7,15
125,Tyjae Spears,TEN,10,RB42,172,117,104,131,00-0039032,RB,2024,0.8529411764705882,23,84,312,26,1,4,0,35,30,224,18.666666666666668,2,1,5,12
131,Jaydon Blue,DAL,10,RB43,164,134,111,136.3,00-0040586,RB,2024,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Nick Chubb,HOU,6,RB44,142,149,125,138.7,00-0034791,RB,2024,0.7327586206896551,28,102,332,41.5,0,3,1,11,5,31,3.875,0,1,4,8
135,Rachaad White,TB,9,RB45,170,126,121,139,00-0037256,RB,2024,0.9803921568627451,25,144,613,40.86666666666667,2,3,3,57,51,393,26.2,3,6,9,15
136,Austin Ekeler,WAS,12,RB46,162,137,123,140.7,00-0033699,RB,2024,0.8863636363636364,29,77,367,30.583333333333332,4,4,0,41,35,366,30.5,8,0,4,12
138,Isaac Guerendo,SF,14,RB47,158,142,127,142.3,00-0039363,RB,2024,0.9411764705882353,24,84,420,32.30769230769231,2,4,1,16,15,152,11.692307692307692,3,0,4,13
140,Jerome Ford,CLE,9,RB48,174,147,116,145.7,00-0037267,RB,2024,0.8627450980392157,24,104,565,40.357142857142854,5,3,0,43,37,225,16.071428571428573,3,0,3,14
143,Ray Davis,BUF,7,RB49,175,141,129,148.3,00-0039875,RB,2024,1.0,24,113,442,27.625,2,3,0,19,17,189,11.8125,2,3,6,16
145,Rico Dowdle,CAR,14,RB50,166,139,147,150.7,00-0036139,RB,2024,0.6309523809523809,26,235,1079,67.4375,2,2,2,50,39,249,15.5625,1,3,5,16
146,Trey Benson,ARI,8,RB51,185,143,126,151.3,00-0039921,RB,2024,0.8235294117647058,22,63,291,24.25,1,1,0,6,6,59,4.916666666666667,0,0,1,12
153,Bhayshul Tuten,JAC,8,RB52,182,144,144,156.7,00-0040719,RB,2024,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Braelon Allen,NYJ,9,RB53,178,161,133,157.3,00-0039794,RB,2024,1.0,20,92,334,19.647058823529413,1,2,0,27,19,148,8.705882352941176,0,1,3,17
157,Dylan Sampson,CLE,9,RB54,173,160,143,158.7,00-0040162,RB,2024,--,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Tyler Allgeier,ATL,5,RB55,191,154,145,163.3,00-0037263,RB,2024,0.9803921568627451,24,138,646,38,4,3,0,13,13,88,5.176470588235294,0,0,3,17
174,Jaylen Wright,MIA,12,RB56,180,177,149,168.7,00-0039874,RB,2024,0.9411764705882353,21,68,249,19.153846153846153,1,0,1,6,3,8,0.6153846153846154,0,0,0,13
182,Kareem Hunt,KC,10,RB57,150,205,178,177.7,00-0033923,RB,2024,0.8688524590163934,29,200,728,56,1,7,0,32,23,176,13.538461538461538,1,0,7,13
191,Blake Corum,LAR,8,RB58,160,197,222,193,00-0039738,RB,2024,1.0,23,58,207,14.785714285714286,0,0,0,8,7,58,4.142857142857143,0,0,0,14
207,Justice Hill,BAL,7,RB59,,213,164,188.5,00-0034975,RB,2024,0.74,26,47,223,14.866666666666667,2,1,0,51,42,383,25.533333333333335,3,3,4,15
209,Roschon Johnson,CHI,5,RB60,,186,193,189.5,00-0039021,RB,2024,0.8529411764705882,23,55,150,12.5,0,6,0,20,16,104,8.666666666666666,0,0,6,12
212,Kyle Monangai,CHI,5,RB61,,221,166,193.5,00-0040236,RB,2024,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Woody Marks,HOU,6,RB62,,216,179,197.5,00-0040583,RB,2024,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Miles Sanders,DAL,10,RB63,,212,196,204,00-0035243,RB,2024,0.84,27,55,205,18.636363636363637,1,2,0,30,24,148,13.454545454545457,2,1,3,11
226,DJ Giddens,IND,11,RB64,,222,204,213,00-0040179,RB,2024,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Jarquez Hunter,LAR,8,RB65,,237,190,213.5,00-0040692,RB,2024,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Brashard Smith,KC,10,RB66,,214,220,217,00-0040078,RB,2024,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,MarShawn Lloyd,GB,5,RB67,,228,213,220.5,00-0039811,RB,2024,0.058823529411764705,23,6,15,15,0,0,0,1,1,3,3,0,0,0,1
238,Will Shipley,PHI,9,RB68,,229,214,221.5,00-0039746,RB,2024,0.9411764705882353,22,30,82,16.4,0,0,0,4,4,35,7,0,0,0,5
241,Jacory Croskey-Merritt,WAS,12,RB69,,261,195,228,00-0040242,RB,2024,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Tahj Brooks,CIN,10,RB70,,262,202,232,00-0040208,RB,2024,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Devin Neal,NO,11,RB71,,220,259,239.5,00-0040202,RB,2024,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Keaton Mitchell,BAL,7,RB72,,265,224,244.5,00-0038454,RB,2024,0.38235294117647056,22,15,30,15,0,0,0,1,1,28,14,1,0,0,2
261,Raheem Mostert,LV,8,RB73,,266,240,253,00-0031687,RB,2024,0.7152317880794702,32,85,278,23.166666666666668,1,2,2,24,19,161,13.416666666666666,1,0,2,12
262,Elijah Mitchell,KC,10,RB74,,297,212,254.5,00-0036567,RB,2024,0.4117647058823529,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Jordan James,SF,14,RB75,,235,289,262,00-0040177,RB,2024,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,A.J. Dillon,PHI,9,RB76,,293,232,262.5,00-0036265,RB,2024,0.7142857142857143,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Jaleel McLaughlin,DEN,12,RB77,,257,271,264,00-0038794,RB,2024,0.9705882352941176,23,113,496,31,1,1,1,27,24,76,4.75,0,2,3,16
275,Antonio Gibson,NE,14,RB78,,,225,225,00-0036328,RB,2024,0.9285714285714286,26,120,538,31.647058823529413,4,1,0,29,23,205,12.058823529411764,2,0,1,17
281,Trevor Etienne,CAR,14,RB79,,275,257,266,00-0040644,RB,2024,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Zack Moss,,,RB80,,,236,236,00-0036251,RB,2024,0.7469879518072289,26,74,242,30.25,0,2,1,27,23,187,23.375,1,1,3,8
287,Kendre Miller,NO,11,RB81,,267,275,271,00-0038551,RB,2024,0.4117647058823529,22,39,148,24.666666666666668,0,1,0,8,5,33,5.5,0,0,1,6
294,Ollie Gordon II,MIA,12,RB82,,273,281,277,00-0040198,RB,2024,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Audric Estime,DEN,12,RB83,,,264,264,00-0039373,RB,2024,0.7647058823529411,20,76,310,23.846153846153847,1,2,1,5,5,27,2.076923076923077,0,0,2,13
304,Sean Tucker,TB,9,RB84,,,276,276,00-0038951,RB,2024,0.9411764705882353,22,50,308,28,2,2,0,12,9,109,9.909090909090908,1,1,3,11
317,Ty Johnson,BUF,7,RB85,,,293,293,00-0035537,RB,2024,0.956989247311828,26,41,213,12.529411764705882,0,1,0,25,18,284,16.705882352941178,5,3,4,17
319,Samaje Perine,CIN,10,RB86,,,296,296,00-0033526,RB,2024,0.991869918699187,28,20,92,5.411764705882353,0,1,0,35,28,297,17.470588235294116,5,1,2,17
321,Kenneth Gainwell,PIT,5,RB87,,,299,299,00-0036919,RB,2024,0.9705882352941176,25,75,290,18.125,1,1,0,22,16,116,7.25,0,0,1,16
324,Emanuel Wilson,GB,5,RB88,,,301,301,00-0038797,RB,2024,0.7941176470588235,25,103,502,29.529411764705884,1,4,0,14,11,48,2.823529411764706,1,1,5,17
327,Devin Singletary,NYG,14,RB89,,,311,311,00-0035250,RB,2024,0.95,26,113,437,29.133333333333333,2,4,2,24,21,119,7.933333333333334,1,0,4,15
329,Dameon Pierce,HOU,6,RB90,,,316,316,00-0037258,RB,2024,0.7450980392156863,24,40,293,32.55555555555556,2,2,0,4,2,2,0.2222222222222222,0,0,2,9
330,Phil Mafah,DAL,10,RB91,,,317,317,00-0040021,RB,2024,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,Isaiah Davis,NYJ,9,RB92,,,323,323,00-0039798,RB,2024,1.0,22,30,174,19.333333333333332,1,1,0,12,9,75,8.333333333333334,1,1,2,9
