Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
12,Travis Kelce,KC,12,TE1,12.0,12.0,,10.8,00-0030506,TE,2020,0.957983193277311,30,2013,0.8553333333333335,43.732506,0.07200000000000001,63.0,8.2,5.59047619047619
23,Darren Waller,MIA,14,TE2,25.0,25.0,,24.0,00-0031610,TE,2020,0.6712328767123288,27,2015,0.9175,118.13316,0.04,204.0,0.7,5.345794392523365
26,George Kittle,SF,6,TE3,32.0,23.0,,27.8,00-0033288,TE,2020,0.84375,26,2017,0.8287500000000001,127.108376,0.076,146.0,2.9,6.1875
46,Kyle Pitts Sr.,ATL,6,TE4,46.0,44.0,,47.8,00-0036970,TE,2020,--,19,2021,-1.0,--,0.045,4.0,25.8,--
50,Mark Andrews,BAL,8,TE5,48.0,50.0,,51.5,00-0034753,TE,2020,0.9375,24,2018,0.655,47.33346,0.077,86.0,6.2,3.1379310344827585
56,T.J. Hockenson,MIN,7,TE6,54.0,57.0,,58.3,00-0035229,TE,2020,0.875,23,2019,0.734375,22.999956,0.026000000000000002,8.0,21.4,4.91044776119403
77,Logan Thomas ,,,TE7,72.0,92.0,,79.5,00-0031260,TE,2020,1.0,29,2014,0.924375,46.28616,0.044000000000000004,120.0,4.1,4.0
80,Noah Fant,CIN,10,TE8,89.0,82.0,,85.0,00-0035644,TE,2020,0.9696969696969697,22,2019,0.716,28.362473,0.017,20.0,15.5,6.080645161290323
85,Robert Tonyan,KC,12,TE9,81.0,87.0,,88.8,00-0033757,TE,2020,0.8958333333333334,26,2017,0.615,62.28209,0.019,,0.0,4.288461538461538
94,Tyler Higbee,LAR,11,TE10,69.0,105.0,,97.0,00-0033110,TE,2020,0.9875,27,2016,0.7799999999999999,44.09838,0.039,110.0,4.7,5.409090909090909
95,Dallas Goedert,PHI,14,TE11,95.0,86.0,,97.3,00-0034351,TE,2020,0.8958333333333334,25,2018,0.7872727272727272,54.25564,0.078,49.0,9.8,4.391304347826087
112,Rob Gronkowski,,,TE12,114.0,103.0,,114.5,00-0027656,TE,2020,0.7730061349693251,31,2010,0.7493749999999999,42.34629,0.044000000000000004,42.0,10.8,5.466666666666667
116,Mike Gesicki,CIN,10,TE13,119.0,112.0,,117.5,00-0034829,TE,2020,0.9791666666666666,24,2018,0.6213333333333334,67.421715,0.009000000000000001,42.0,10.8,3.150943396226415
140,Jonnu Smith,PIT,7,TE14,188.0,142.0,,149.5,00-0033858,TE,2020,0.9384615384615385,25,2017,0.7493333333333332,46.3767,0.068,100.0,5.3,5.804878048780488
155,Hunter Henry,NE,14,TE15,173.0,151.0,,163.8,00-0033090,TE,2020,0.725,25,2016,0.8707142857142858,19.598736,0.068,35.0,12.0,3.7666666666666666
160,Zach Ertz,WAS,9,TE16,150.0,183.0,,167.0,00-0030061,TE,2020,0.9541984732824428,29,2013,0.8127272727272729,12.862727,0.055,35.0,12.0,2.4444444444444446
171,Gerald Everett,,,TE17,183.0,180.0,,174.3,00-0033895,TE,2020,0.953125,26,2017,0.565,12.399238,0.033,44.0,10.5,5.926829268292683
174,Jared Cook,,,TE18,191.0,160.0,,177.8,00-0027061,TE,2020,0.9132653061224489,33,2009,0.4633333333333333,31.326382,0.025,89.0,6.0,3.3513513513513513
175,Evan Engram,DEN,11,TE19,222.0,196.0,,178.3,00-0033881,TE,2020,0.875,25,2017,0.82375,20.991833,0.016,23.0,14.6,4.555555555555555
196,Pat Freiermuth,PIT,7,TE20,141.0,210.0,,181.7,00-0036894,TE,2020,--,21,2021,-1.0,--,0.008,55.0,9.1,--
214,Austin Hooper,NE,14,TE21,217.0,194.0,,203.3,00-0032392,TE,2020,0.925,25,2016,0.78,21.628975,0.053,81.0,6.6,3.6739130434782608
215,Blake Jarwin,,,TE22,159.0,220.0,,204.7,00-0033658,TE,2020,0.7413793103448276,26,2017,0.35,,0.027999999999999997,,0.0,0.0
216,Cole Kmet,CHI,10,TE23,226.0,189.0,,208.7,00-0036290,TE,2020,1.0,21,2020,0.56375,20.497309,0.01,43.0,10.6,4.857142857142857
217,Adam Trautman,DEN,11,TE24,221.0,221.0,,210.0,00-0036422,TE,2020,0.9375,23,2020,0.3926666666666666,13.158778,0.005,105.0,5.0,7.8
223,Anthony Firkser,,,TE25,229.0,238.0,,220.0,00-0033455,TE,2020,1.0,25,2017,0.321875,37.561714,0.016,,0.0,3.6666666666666665
224,Eric Ebron,,,TE26,138.0,241.0,,221.3,00-0031387,TE,2020,0.9478260869565217,27,2014,0.7373333333333334,26.325525,0.03,10.0,19.9,3.4285714285714284
236,Dawson Knox,BUF,7,TE27,153.0,,,220.5,00-0035689,TE,2020,0.84375,23,2019,0.5741666666666666,12.090182,0.005,96.0,5.5,6.666666666666667
249,Jordan Akins,,,TE28,,,,185.0,00-0034364,TE,2020,0.9375,28,2018,0.5192307692307693,19.524231,0.005,98.0,5.4,4.648648648648648
257,Taysom Hill,NO,6,TE29,,,,205.0,00-0033357,TE,2020,1.0,30,2017,0.43625,65.556,0.055,,0.0,4.375
265,Hayden Hurst,,,TE30,,,,223.0,00-0034830,TE,2020,1.0,27,2018,0.69875,30.834959,0.016,25.0,14.1,4.375
270,O.J. Howard,,,TE31,,,,229.0,00-0033879,TE,2020,0.65625,25,2017,0.4875,31.446669,0.017,19.0,15.8,1.5454545454545454
278,Juwan Johnson,NO,6,TE32,,,,242.0,00-0036040,TE,2020,1.0,23,2020,0.3842857142857143,1.1370001,0.004,,0.0,5.0
290,Kent Taylor,,,TE34,,252.0,,252.0,TAY476625,TE,2020,--,--,2017,-1.0,--,--,,0.0,--
295,Tyler Davis,,,WR90,,256.0,,256.0,00-0036250,TE,2020,0.5,23,2020,0.075,,0.005,206.0,0.7,0
297,Jimmy Graham,,,TE35,,,,258.0,00-0027696,TE,2020,0.9265536723163842,33,2010,0.595,55.054,0.04,95.0,5.6,3.96
298,Austin Traylor,,,TE36,,258.0,,258.0,00-0033043,TE,2020,1.0,26,2016,-1.0,--,--,,0.0,--
299,Tyler Kroft,,,TE37,,,,259.0,00-0032214,TE,2020,0.845360824742268,27,2015,0.465,43.33366,0.011000000000000001,85.0,6.3,3.6666666666666665
311,Dan Arnold,,,TE38,,,,266.0,00-0034011,TE,2020,0.6379310344827587,25,2017,0.416875,21.33978,0.016,,0.0,5.580645161290323
334,Austin Roberts,,,TE40,,280.0,,280.0,00-0034784,TE,2020,0.0,24,2018,-1.0,--,--,,0.0,--
341,Chris Herndon,IV,,TE41,,,,290.0,00-0034766,TE,2020,0.7083333333333334,24,2018,0.68125,35.995995,0.004,107.0,4.8,4.129032258064516
344,Mo Alie-Cox,IND,14,TE42,,,,295.0,00-0033217,TE,2020,0.9777777777777777,26,2017,0.4853333333333333,20.814945,0.019,,0.0,5.870967741935484
345,Dalton Schultz,HOU,10,TE43,,,,296.0,00-0034383,TE,2020,1.0,24,2018,0.85375,28.40129,0.004,137.0,3.3,4.428571428571429
373,C.J. Uzomah,,,TE44,,,,331.0,00-0032134,TE,2020,0.8556701030927835,27,2015,0.615,16.244999,0.032,157.0,2.4,3.75
393,Stephen Anderson,,,TE45,,,,355.0,00-0032725,TE,2020,1.0,27,2016,0.124375,15.960001,0.005,,0.0,10.0
399,Donald Parham Jr.,PIT,7,TE46,,,,361.0,00-0035329,TE,2020,0.9375,23,2019,0.2446153846153846,22.156553,0.004,,0.0,5.6
406,N'Keal Harry,,,WR132,,,,369.0,00-0035624,TE,2020,0.6666666666666666,22,2019,0.6628571428571429,23.330896,0.013000000000000001,32.0,12.5,3.1818181818181817
409,David Njoku,CLE,13,TE47,,,,373.0,00-0033885,TE,2020,0.765625,24,2017,0.48,18.438728,0.013999999999999999,29.0,13.2,4.578947368421052
423,Foster Moreau,NO,6,TE48,,,,388.0,00-0034981,TE,2020,0.90625,23,2019,0.2331249999999999,20.791428,0.004,137.0,3.3,7.285714285714286
424,Jack Doyle,,,TE49,,,,389.0,00-0030181,TE,2020,0.9541984732824428,30,2013,0.5757142857142856,14.77064,0.038,,0.0,3.9565217391304346
427,James O'Shaughnessy,,,TE50,,,,392.0,00-0031951,TE,2020,0.7555555555555555,28,2015,0.4753333333333333,6.845524,0.009000000000000001,173.0,1.8,3.357142857142857
434,Tyler Conklin,LAC,7,TE51,,,,399.0,00-0034270,TE,2020,1.0,25,2018,0.391875,21.789524,0.004,157.0,2.4,6.631578947368421
437,Albert Okwuegbunam Jr.,LV,8,TE52,,,,402.0,00-0036423,TE,2020,0.29411764705882354,22,2020,0.31,21.615833,0.005,118.0,4.2,6.636363636363637
460,Will Dissly,LAC,7,TE54,,,,425.0,00-0034159,TE,2020,0.5416666666666666,24,2018,0.520625,6.9670877,0.004,120.0,4.1,7.041666666666667
462,Kylen Granson,PHI,14,TE55,,,,427.0,00-0036876,TE,2020,--,22,2021,-1.0,--,0.006,127.0,3.8,--
464,Noah Gray,KC,12,TE56,,,,429.0,00-0036637,TE,2020,--,21,2021,-1.0,--,0.005,162.0,2.2,--
468,Charlie Woerner,ATL,6,TE57,,,,433.0,00-0036429,TE,2020,0.875,22,2020,0.1242857142857142,7.6300006,0.004,190.0,1.2,8.333333333333334
471,Kyle Rudolph,,,TE58,,,,436.0,00-0027981,TE,2020,0.8888888888888888,30,2011,0.7208333333333333,16.51,0.033,43.0,10.6,5.857142857142857
475,Brandon Dillon,,,TE59,,,,440.0,00-0035102,TE,2020,1.0,23,2019,0.0533333333333333,,0.005,,0.0,1.0
485,Jesper Horsted,,,TE60,,,,450.0,00-0035562,TE,2020,1.0,23,2019,-1.0,--,0.004,,0.0,--
486,Durham Smythe,CHI,10,TE61,,,,451.0,00-0034798,TE,2020,0.9791666666666666,25,2018,0.4546666666666666,7.1085896,0.004,123.0,4.0,4.6923076923076925
493,Drew Sample,CIN,10,TE62,,,,458.0,00-0035631,TE,2020,0.78125,24,2019,0.809375,15.635625,0.006999999999999999,52.0,9.4,4.95
497,Harrison Bryant,PHI,14,TE63,,,,462.0,00-0036232,TE,2020,0.9375,22,2020,0.59,33.524548,0.005,115.0,4.4,4.875
499,Jacob Hollister,,,TE64,,,,464.0,00-0033387,TE,2020,1.0,26,2017,0.350625,12.618975,0.006,,0.0,3.2
